Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Qualyst Transporter Solutions LLC,"ADMETech; Qualyst, Inc.; BioIVT",http://www.qualyst.com/,LLC - Limited Liability,3/30/2012,Kim Brouwer,Dhiren Thakker,Kim Brouwer,Dhiren Thakker,2810 Meridian Pkway Suite 100,Durham,North Carolina,27713,Durham,kits@qualyst.com,(919) 313-6500,"Qualyst Transporter Solutions is a biotechnology company providing hepatic drug transporter models, products and contract research services for accelerating the process of screening drug candidates.","incorporated DE, NC; annual report NC 3/17/2017 ""An unknown buyer acquired assets of Qualyst, Inc. on April 13, 2012. All staff of Qualyst will be retained and Christopher Black has been recruited as the Chief Executive Officer of Qualyst Transporter Solutions."" (Capital IQ, 4/24/2015) Xingrong Liu, co-inventor/discloser for patent ROI 99-0036 is affiliated with the Gillings School of Public Health Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.",,Acquisition,9/7/2017,,
Quantworks Inc,,quantworks.com,C Corporation,9/10/2015,Nick Ghitelman,Anthony Volpe,,,202 S Greensboro St,Carrboro,North Carolina,27510,Orange,connect@quantworks.com,9199234469,Create flexible advanced analytic solutions.,"incorporated NC; annual report NC 9/18/2017 registration active, 2022 AR filed (Patrick, 6/29/2022)","Annual reports 8/9/18. JL 6/23/19 The website is active, NC SoS status as ""Current - active,"" latest annual report 1/26/2022. Address and contact information are correct. Annual report due. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 3/8/24, active website, 4-24-24 - John.",,,,
Quark Matrix Inc,,www.quarkmatrix.com,C Corporation,5/24/2012,Sethu Kettimuthu,,,,2020 Morehead Hill Ct,Durham,North Carolina,27703,Durham,info@quarkmatrix.com,(610) 564-2587,"Quark Matrix offers data warehousing, business analytics, advanced visualization, statistical analysis, and predictive analytics to businesses using portal solutions customized for health care.","need contact and milestone (UNC Commercialization Service), Cindy, 6/30/2015 incorporated NC; annual report NC 1/4/2017, 1/9/2018, registration active, 2022 AR filed (Patrick, 6/29/2022)","NC Annual report 1/11/19. JL 6/23/19. Annual report 2/17/20 (JL 7/3/20). The website is active, NC SoS status as ""Current - active,"" latest annual report 1/13/2022. Address and contact information are correct. Annual report due. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 4/15/24, active website, 4-24-24 - John.",,,,
Quintiles Transnational Holdings Inc,Quintiles; Quintiles IMS Holdings Inc; IQVIA (after merger),http://www.quintiles.com,C Corporation,2/26/1982,Hugh Dawson,,Dennis Gillings,,4820 Emperor Boulevard,Durham,North Carolina,27703,Durham,,(919) 998-2000,"Quintiles - a global contract-research organization - is the world's largest provider of biopharmaceutical development and commercial outsourcing services to clients in the Americas, Europe, Africa, and the Asia-Pacific. Headquartered in Durham, NC and founded by UNC-Chapel Hill biostatistician Dennis Gillings, it has supported the development and commercialization of the world's top 50 best-selling drugs, and employs more than 27,000 people worldwide including more than 2,000 in North Carolina.","Quintiles IS UNC Startup. Quintiles was founded in 1982 while Dennis Gillings was still a faculty member (through 1988). Multiple Converted, Withdrawn, Merged records for incorporation. Went public in 1994, private in 2003 via M&A, public again in 2013",,Merger,10/3/2016,,
Qura Therapeutics LLC,UNC HIV Cure center,http://unchivcurecenter.org/qura-therapeutics/,LLC - Limited Liability,5/8/2015,David Margolis,,,,Genetic Medicine Building,Chapel Hill,North Carolina,27514,Orange,mary_napier@med.unc.edu,(919) 962-8205,"Complementing the newly dedicated HIV Cure Center, Qura Therapeutics is a unique partnership between UNC-Chapel Hill and GSK's ViiV Healthcare that manages intellectual property, commercialization, manufacturing, and governance.","""Through the new company, GSK will invest $4 million per year for five years to fund the initial HIV Cure center research plan, and a small research team from GSK will move to Chapel Hill to be co-located with UNC researchers."" - research funding only as of December 2015, no startup funding (Cindy, 12/22/2015), LLC active, 2022 AR filed (Patrick, 6/29/2022)","NC Annual report 3/22/19. JL 6/23/19. NC annual report 3/31/20. (JL 7/3/20). AR 3/5/21- JL. The website is active, NC SoS status ""Current - active,"" latest annual report 2/28/2022. Address and contact information are correct. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 2/28/22, no active website, 4-24-24 - John.",,,,
QUVI,Sanibottle,https://www.quvitech.com/,LLC - Limited Liability,7/21/2020,Kush Jain,,,,825 River Song Place,Cary,North Carolina,27519,Wake,harshul@live.unc.edu,9193969002,"QUVI revolutionizes how people sanitize their water bottles, using UV-C light to kill germs inside and on the surface of water bottles.","website unavailable, LLC active but 2022 AR not yet filed (Patrick, 6/29/2022). The website is inactive, NC SoS status as ""Admin. Dissolved"". (MacKenzie, 6/16/23) The website is inactive, NC SoS status as ""Admin. Dissolved on 5/2/2023"". (John, 4/24/24)",,"Liquidation, close down",5/2/2023,,
Radiate Works LLC,,https://www.radiateworks.com/,LLC - Limited Liability,4/8/2022,Melissa Carrier,Elizabeth Benefield,,,3120 Canoe Brook Pkwy,Raleigh,North Carolina,27614,Wake,,,"""Radiate Works is a boutique consultancy offering a customized process to help companies adapt to a changing world. Through deep exploration of assets and aspirations, Radiate Works helps our clients align mission, culture and innovation practice to reimagine impact."" (website, 1/23/2023)",,"NC registration and website active (Patrick, 2/28/23) The website is active, NC SoS status as ""Current - active,"" latest annual report 1/27/2023. Address is correct, phone number was added. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 2/1/24, active website (John 5/20/24).",,,,
Railcare Health,,https://railcarehealth.com/,501c,5/12/2017,Kevin Travia,,,,7600 Malbec Ct,Kernersville,North Carolina,27284-6724,Forsyth,eric.casper@railcarehealth.com,(910) 258-4238,"Established since 2016, we are a free, mobile clinic that provides healthcare to the underinsured and uninsured in North Carolina. Using an interdisciplinary model, we are able to cater healthcare to serve the broadest range of patients. (website, 7/26/2019)","incorporated NC, EIN 82-1693813 railcarehealth.com registration active, recent activity on social profiles (Patrick, 6/29/2022","The website is active, NC SoS status as ""Current - active,"" latest Form 990 2021. Address is correct. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", EIN: 82-1693813, form 990-N filed 2023, active website (John 5/20/24). Phone number on facebook is (919) 289-9108, email updated.",,,,
RainBio Inc,,https://rainbio.us/,C Corporation,6/12/2020,Matthew Hirsch,Chengwen Li,Matthew Hirsch,Chengwen Li,8628 Valley Brook Dr,Raleigh,North Carolina,27613,Wake,info@rainbio.us,9194123680,RainBio is the only ocular gene therapy pioneer focused on blindness in the cornea. Our adeno-associated virus (AAV) vector gene therapy can directly correct cornea cellular function to maintain or restore vision in patients at risk of blindness from a number of diseases.,"registration active, 2022 AR filed (Patrick, 6/29/2022), incorporated NC","AR 3/25/21- JL. The website is active, NC SoS status as ""Current - active,"" latest annual report 3/2/2023. Address and contact information are correct. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 3/28/24, active website (John 5/20/24).",Acquisition,3/30/2022,,
Raise Technologies,POLI,https://raisetech.co/,LLC - Limited Liability,7/8/2019,Ryan Wallace,,,,173 East Franklin St,Chapel Hill,North Carolina,,Orange,,,"""Raise Technologiesis building a marketplace for entrepreneurial and social ventures to identify and access funding opportunities from institutions, foundations, donors, and angel investors by delivering better connections and insights through Artificial Intelligence and Machine Learning."" (Launch Chapel Hill website, 2/25/2020)","inactive since Dec 2019, according to founder's LinkedIn page (Patrick, 1/13/2021)",Incorporated in DE. Website isn't active. JL (7/3/20).,"Liquidation, close down",12/1/2019,,
Ram's Nook LLC,,,LLC - Limited Liability,11/21/2017,Jon Espita,Anne Froment,,,1609 Valley Run,Durham,North Carolina,27707,Durham,,,Created to bring fresh and healthy options for concessions to college sporting events. Started with core product at the Dean Dome. 2nd year.,"incorporated NC (Cindy, 2/5/2019)",NC annual report 4/6/19. JL 6/23/19. Dissolved in NC 11/15/19. Facebook page no longer active. Former CEO LinkedIN says he ended tenure 8/2019. (Paarvv Goel) No other info on UNC campus food company. Will deactivate. (JL 7/3/20),"Liquidation, close down",11/15/2019,,
Rate Your Dorms LLC,,https://rateyourdorms.com/,Partnership,11/29/2017,Jasper Brindis,,,,314 Burgwin Wright Way,Cary,North Carolina,27519,Wake,rateyourdorms@gmail.com,,A platform for providing and accessing reviews of dorms on college campuses across the U.S.,,"Company is dissolved on the NC Sec of State site, but the website is still active. JL 7/3/20.","Liquidation, close down",2/4/2020,,
Raw Health,,http://rawhealthproducts.com/,LLC - Limited Liability,6/1/2016,Paul Prithard,Laura Pritchard,,,54 Oakwood Dr,Chapel Hill,North Carolina,27517,Orange,info@rawhealthproducts.com,(919) 914-6403,"We make the world's best all natural, aloe based pain relieving gel that does so much more than relieve pain.","website unavailable and LLC dissolved as of 1/31/2022, check again in 2023 (Patrick, 6/29/2022). The website is inactive, NC SoS status as ""Dissolved"". (MacKenzie, 6/16/23)",NC Annual Report 3/14/19. Jen Lai 6/23/19. Annual report 3/12/20. (JL7/3/20).,"Liquidation, close down",1/31/2022,,
REALTROMINS Inc,,http://www.realtromins.com/,C Corporation,4/25/2007,Keith Kocis,Daniel J Kocis Jr,Keith Kocis,,507 Highgrove Dr,Chapel Hill,North Carolina,27516,Orange,kocismd@realtromins.com,(919) 880-4041,"Realtromins develops advanced medical devices that provide an early warning to track vital changes in critically ill or hospitalized patients, identifying high-risk individuals to facilitate immediate changes in medical management, improve patient safety and outcomes, and reduce health care costs.","License terminated, per Jackie Quay, 1/4/2017 incorporated DE, then NC, NC incorporation suspension 5/14/2013, remained DE website available, NC registration suspended on 5/14/2013 but still active according to founder's LinkedIn (Patrick, 6/29/2022). Active website, still active on founder's linkedin (Tiffany, 7/25/23). NC SoS status is ""Multiple"", suspended in 2013, still posted on founder's linkedin, website inactive ( John 5/20/24).",,"Liquidation, close down",5/14/2013,,
RecruitRef,,https://www.recruitref.com/,LLC - Limited Liability,2/1/2018,Van Hatchell,,,,7515 Kepley Rd,Chapel Hill,North Carolina,27515,Orange,van@recruitref.com,(919) 357-3520,RecruitRef is like LinkedIn for high school athletes that want to play their sports in college.,"registration active but no AR '21 or '22 filed yet (Patrick, 6/29/2022)","NC annual report 11/25/19. JL 7/4/20. AR 12/29/20- JL. The website is active, NC SoS status as ""Current - active,"" latest annual report 8/2/2022. Address and contact information are correct. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 1/19/24, active website (John 5/20/24).",,,,
Re-Dazzle,,,C Corporation,6/17/2011,Eva-Michelle Greene,Michael Greene,,,,Chapel Hill,North Carolina,,Orange,,,"""Re-Dazzle is a credible online platform for buying and selling previously-loved jewelry. "" ""Re-Dazzle is a credible, online market for jewelry enthusiasts who demand the utmost in quality and security in exchanging their treasures. Unlike other sites, Re- Dazzle uses certified American Gem Society jewelers for authentication and logistical services to gain consumers? trust. Re- Dazzle provides a trusted method for both buyers and sellers to maximize the value and spirit of each piece of jewelry. ""Re- Dazzle?s website is the hub for the online jewelry transactions. Using both B2B and B2C channels of distribution, Re-Dazzle builds networks, relationships, and revenue streams through four main components; buyer, seller, AGS Jeweler, and Re- Dazzle. A seller will take their unwanted jewelry to an AGS certified jeweler who, for a fee dependent on the piece?s estimated value, will authenticate and evaluate the piece and place it on the website. A buyer will purchase the piece from the website for the list price. After receiving the payment from the buyer, Re- Dazzle will send payment less commission to the seller, and split the commission (based on a tiered structure) with the retail jeweler."" (Carolina Challenge 2011 Participants spreadsheet, 9/2/15)",incorporated NC; ADM Dissolution NC 10/23/2013,,"Liquidation, close down",10/23/2013,,
